Lecture-1-|-Introduction-to-Convolutional-Neural-Networks-for-Visual-Recognition	stanford-conv-nn\Lecture-1-_-Introduction-to-Convolutional-Neural-Networks-for-Visual-Recognition-vT1JzLTH4G4.en.vtt	https://www.youtube.com/watch?v=vT1JzLTH4G4	PL3FW7Lu3i5JvHM8ljYj-zLfQRF3EO8sYv	Lecture 1 gives an introduction to the field of computer vision, discussing its history and key challenges. We emphasize that computer vision encompasses a wide variety of different tasks, and that de
Lecture-10-|-Recurrent-Neural-Networks	stanford-conv-nn\Lecture-10-_-Recurrent-Neural-Networks-6niqTuYFZLQ.en.vtt	https://www.youtube.com/watch?v=6niqTuYFZLQ	PL3FW7Lu3i5JvHM8ljYj-zLfQRF3EO8sYv	In Lecture 10 we discuss the use of recurrent neural networks for modeling sequence data. We show how recurrent neural networks can be used for language modeling and image captioning, and how soft spa
Lecture-11-|-Detection-and-Segmentation	stanford-conv-nn\Lecture-11-_-Detection-and-Segmentation-nDPWywWRIRo.en.vtt	https://www.youtube.com/watch?v=nDPWywWRIRo	PL3FW7Lu3i5JvHM8ljYj-zLfQRF3EO8sYv	In Lecture 11 we move beyond image classification, and show how convolutional networks can be applied to other core computer vision tasks. We show how fully convolutional networks equipped with downsa
Lecture-12-|-Visualizing-and-Understanding	stanford-conv-nn\Lecture-12-_-Visualizing-and-Understanding-6wcs6szJWMY.en.vtt	https://www.youtube.com/watch?v=6wcs6szJWMY	PL3FW7Lu3i5JvHM8ljYj-zLfQRF3EO8sYv	In Lecture 12 we discuss methods for visualizing and understanding the internal mechanisms of convolutional networks. We also discuss the use of convolutional networks for generating new images, inclu
Lecture-13-|-Generative-Models	stanford-conv-nn\Lecture-13-_-Generative-Models-5WoItGTWV54.en.vtt	https://www.youtube.com/watch?v=5WoItGTWV54	PL3FW7Lu3i5JvHM8ljYj-zLfQRF3EO8sYv	In Lecture 13 we move beyond supervised learning, and discuss generative modeling as a form of unsupervised learning. We cover the autoregressive PixelRNN and PixelCNN models, traditional and variatio
Lecture-14-|-Deep-Reinforcement-Learning	stanford-conv-nn\Lecture-14-_-Deep-Reinforcement-Learning-lvoHnicueoE.en.vtt	https://www.youtube.com/watch?v=lvoHnicueoE	PL3FW7Lu3i5JvHM8ljYj-zLfQRF3EO8sYv	In Lecture 14 we move from supervised learning to reinforcement learning (RL), in which an agent must learn to interact with an environment in order to maximize its reward. We formalize reinforcement 
Lecture-15-|-Efficient-Methods-and-Hardware-for-Deep-Learning	stanford-conv-nn\Lecture-15-_-Efficient-Methods-and-Hardware-for-Deep-Learning-eZdOkDtYMoo.en.vtt	https://www.youtube.com/watch?v=eZdOkDtYMoo	PL3FW7Lu3i5JvHM8ljYj-zLfQRF3EO8sYv	In Lecture 15, guest lecturer Song Han discusses algorithms and specialized hardware that can be used to accelerate training and inference of deep learning workloads. We discuss pruning, weight sharin
Lecture-16-|-Adversarial-Examples-and-Adversarial-Training	stanford-conv-nn\Lecture-16-_-Adversarial-Examples-and-Adversarial-Training-CIfsB_EYsVI.en.vtt	https://www.youtube.com/watch?v=CIfsB_EYsVI	PL3FW7Lu3i5JvHM8ljYj-zLfQRF3EO8sYv	In Lecture 16, guest lecturer Ian Goodfellow discusses adversarial examples in deep learning. We discuss why deep networks and other machine learning models are susceptible to adversarial examples, an
Lecture-2-|-Image-Classification	stanford-conv-nn\Lecture-2-_-Image-Classification-OoUX-nOEjG0.en.vtt	https://www.youtube.com/watch?v=OoUX-nOEjG0	PL3FW7Lu3i5JvHM8ljYj-zLfQRF3EO8sYv	Lecture 2 formalizes the problem of image classification. We discuss the inherent difficulties of image classification, and introduce data-driven approaches. We discuss two simple data-driven image cl
Lecture-3-|-Loss-Functions-and-Optimization	stanford-conv-nn\Lecture-3-_-Loss-Functions-and-Optimization-h7iBpEHGVNc.en.vtt	https://www.youtube.com/watch?v=h7iBpEHGVNc	PL3FW7Lu3i5JvHM8ljYj-zLfQRF3EO8sYv	Lecture 3 continues our discussion of linear classifiers. We introduce the idea of a loss function to quantify our unhappiness with a models predictions, and discuss two commonly used loss functions f
Lecture-4-|-Introduction-to-Neural-Networks	stanford-conv-nn\Lecture-4-_-Introduction-to-Neural-Networks-d14TUNcbn1k.en.vtt	https://www.youtube.com/watch?v=d14TUNcbn1k	PL3FW7Lu3i5JvHM8ljYj-zLfQRF3EO8sYv	In Lecture 4 we progress from linear classifiers to fully-connected neural networks. We introduce the backpropagation algorithm for computing gradients and briefly discuss connections between artifici
Lecture-5-|-Convolutional-Neural-Networks	stanford-conv-nn\Lecture-5-_-Convolutional-Neural-Networks-bNb2fEVKeEo.en.vtt	https://www.youtube.com/watch?v=bNb2fEVKeEo	PL3FW7Lu3i5JvHM8ljYj-zLfQRF3EO8sYv	In Lecture 5 we move from fully-connected neural networks to convolutional neural networks. We discuss some of the key historical milestones in the development of convolutional networks, including the
Lecture-6-|-Training-Neural-Networks-I	stanford-conv-nn\Lecture-6-_-Training-Neural-Networks-I-wEoyxE0GP2M.en.vtt	https://www.youtube.com/watch?v=wEoyxE0GP2M	PL3FW7Lu3i5JvHM8ljYj-zLfQRF3EO8sYv	In Lecture 6 we discuss many practical issues for training modern neural networks. We discuss different activation functions, the importance of data preprocessing and weight initialization, and batch 
